,epoch,train_loss,val_loss
0,1,41377.628073215485,0.0
1,2,34608.60342311859,0.0
2,3,32558.392256736755,0.0
3,4,31466.958604812622,0.0
4,5,30745.178889274597,0.0
5,6,30230.086076259613,0.0
6,7,29792.35127067566,0.0
7,8,29474.132482528687,0.0
8,9,29189.329260349274,0.0
9,10,28957.48522901535,inf
10,11,28737.11171722412,0.0
11,12,28575.894531726837,0.0
12,13,28398.14143228531,0.0
13,14,28256.3805103302,0.0
14,15,28127.021245002747,0.0
15,16,27995.99422645569,0.0
16,17,27891.058422088623,0.0
17,18,27778.753051280975,0.0
18,19,27692.102148532867,0.0
19,20,27624.269716739655,inf
20,21,27164.426715373993,0.0
21,22,27082.3039021492,0.0
22,23,27066.312614440918,0.0
23,24,27011.636173725128,0.0
24,25,27008.929652690887,0.0
25,26,26981.01810312271,0.0
26,27,26953.033307552338,0.0
27,28,26917.484350204468,0.0
28,29,26910.45304584503,0.0
29,30,26893.249145507812,inf
30,31,26885.01375102997,0.0
31,32,26861.87579727173,0.0
32,33,26842.88944530487,0.0
33,34,26846.6093583107,0.0
34,35,26811.1096906662,0.0
35,36,26811.97870349884,0.0
36,37,26800.93737220764,0.0
37,38,26782.431664466858,0.0
38,39,26771.741938114166,0.0
39,40,26758.429791927338,inf
40,41,26702.096961975098,0.0
41,42,26701.751231193542,0.0
42,43,26691.99447774887,0.0
43,44,26688.442522764206,0.0
44,45,26676.876102924347,0.0
45,46,26697.67427945137,0.0
46,47,26669.419093608856,0.0
47,48,26680.95308446884,0.0
48,49,26668.507439613342,0.0
49,50,26656.77614927292,inf
50,51,26658.61371946335,0.0
